Item_ID,Item_Name,Construct,Question,Response_Options,Assessment_Level,Yes_Criteria,No_Criteria,Partly_Criteria,Unclear_Criteria,Music_Examples,Common_Pitfalls
1X,Peer Review,QoR,Did the paper undergo peer review before publication?,Yes; No,Study-level,"Published in a peer-reviewed journal (verify journal is peer-reviewed through indexing in PubMed, Web of Science, or similar databases).","Preprint, thesis, conference abstract, or other non-peer-reviewed report.",N/A,N/A,"Yes: Psychoneuroendocrinology, Journal of Music Therapy, Behavioral Brain Research. No: bioRxiv preprint, dissertation, conference proceedings not published as journal article.","DECISION RULE: any article published in a journal (including open-access or lower-tier journals such as EC Neurology or ASEAN J Psychiatry) = Yes; only preprints, theses, and stand-alone conference abstracts = No. Do not downgrade for perceived journal prestige or infer status from author affiliation."
3X,Animals: Reporting,QoR,Are experimental animals sufficiently described?,Yes; Partly; No,Study-level,"Report all key descriptors: species, strain/stock, sex, age/stage + body mass or weight range, supplier/source, and identifiable group sizes (n per group).",Generic description or seriously insufficient information for replication.,Missing 1-2 of the key descriptors listed above.,N/A,"Yes: ""Male C57BL/6 mice (n=12/group), aged 10-12 weeks, 24-26g, from Jackson Lab, housed 4/cage."" Partly: ""Adult C57BL/6 mice (n=24)"" - age range missing. No: ""Mice were used"".","Do not penalize early-life studies where sex cannot be determined. Record ""NA - sex undeterminable"" if applicable. Supplier often inferred from strain name."
3Y,Animals: Technical Quality,MQ,Were animal characteristics comparable between groups and appropriate for the music intervention?,Yes; Partly; No,Study-level,"Clear evidence of group balance or matching/blocking/litter-balancing procedure. Groups appropriate for aims (e.g., animals can perceive/respond to music).",Baseline imbalance shown and unaddressed. OR unsuitable model for stated aim.,Likely comparable but incompletely documented. Missing baseline table or limited matching detail.,N/A,"Yes: ""Table 1: no significant differences in baseline anxiety (p=0.45), age (p=0.62), weight (p=0.58). All animals had normal hearing."" Partly: ""Sixty male Wistar rats, 3-5 months, randomized to subgroups"" - homogeneous and randomized but NO baseline behavioural comparison reported. No: ""Control group significantly less anxious at baseline (p<0.05)"" - no adjustment.","DECISION RULE: homogeneous animals + randomization but NO baseline data table = Partly (not Yes); Yes requires actual reported balance OR an explicit matching/blocking procedure. Missing baseline table usually = Partly, not No. Judge suitability for music specifically. Do not confuse n imbalance with characteristic imbalance."
3Z,Selection Bias: Baseline Characteristics,RoB,Were relevant baseline characteristics balanced between music and control groups?,Yes; No; Unclear; NA,Study-level,"Arm-specific baseline data provided AND balanced, OR explicit matching/blocking/litter-balancing procedure used.",Baseline imbalance documented and unaddressed in analysis.,N/A,"No arm-specific baseline data reported, OR no information about balancing procedure.","Yes: ""Table 1: no significant differences (all p>0.05)"" OR ""Animals matched using block randomization."" No: ""Anxiety scores differed significantly at baseline (p<0.01), not adjusted."" Unclear: ""No baseline data provided.""",Randomization alone does NOT ensure baseline balance. Look for reported baseline data. Baseline balance requires p-values or confidence intervals.
4Y,Sample-Size Calculation,QoR,Did the study report an appropriate a priori sample-size calculation?,Yes; Partly; No,Study-level,"Explicit power analysis with: target effect size, desired power (usually 80%+), alpha level (usually 0.05), and appropriate test or design.",No sample-size calculation or justification reported.,"Calculation mentioned but incomplete (e.g., ""80% power"" without effect size). OR post-hoc or based on prior studies without full justification.",N/A,"Yes: ""G*Power 3.1: effect size f=0.25 (medium), alpha=0.05, power=0.80, 2 groups, n=45/group."" Partly: ""Based on prior music studies"" OR ""Powered at 80%..."" (no effect size). No: No mention of justification.","""Followed prior studies"" is NOT a calculation. Code based on REPORTING, not actual sample size (small n can still have reported calculation)."
5X,Music Intervention: Reporting,QoR,Is the music intervention described sufficiently for replication?,Yes; Partly; No,Study-level,"All core elements reported: music type/genre, delivery method, duration per exposure, frequency, timing relative to outcome, volume/intensity (dB), control condition (specified clearly), individual vs. group.",Music-vs-control insufficiently described. Cannot identify music or control condition.,One or more core elements missing or vaguely stated.,N/A,"Yes: ""Classical piano (Chopin Nocturnes) via ceiling speakers at 70 dB, 30 min/day for 14 days, starting 1 week post-housing. Control: ambient lab noise at equivalent volume."" Partly: ""Classical music 30 min/day; control silence"" - volume/specific pieces not stated. No: ""Mice exposed to music.""","List EACH core element. Genre must be specific enough to replicate (Mozart < Mozart Sonata K545). Control condition MUST be explicit. Different controls (silence, white noise, other music) are distinct."
5Y,Music Intervention: Technical Quality,MQ,Does the music intervention design appear technically sound for the stated aim?,Yes; Partly; No,Study-level,"Plausibly delivers distinct music vs. control with no obvious acoustic cross-contamination, pseudoreplication, dose/volume confound, or fatal timing flaw.","Clear technical problem: music and silence in same cage; volume/loudness confounded with genre (e.g., each genre played at a different dB); only one cage/litter per group; random music timing; or other uncontrolled confounds.","Plausible but key technical info incomplete (e.g., housing separate but no soundproofing detail), OR cage/litter-level pseudoreplication present but partially mitigated.",N/A,"Yes: ""Separate rooms with doors closed, 15 cm soundproofing. Speakers 30 cm from cages (music group only). Control: silent speakers at equivalent distance."" Partly: ""5 rats/cage, 2 cages per group; analysis treated each rat as independent"" - cage-level pseudoreplication not accounted for. No: ""classical at 60 dB, sufi at 30 dB, rock at 120 dB"" (loudness confounded with genre) OR ""one cage of dams per music group, pups analysed as independent"" (litter confound).","PSEUDOREPLICATION RULE: if animals share cages/litters and the analysis treats individuals as independent without accounting for cage/dam, that is pseudoreplication = at most Partly; if there is only ONE cage/litter per group it is unavoidable = No. PERINATAL designs randomize the DAM but measure the PUPS - pups from one dam are not independent. DOSE-CONFOUND RULE: if different genres are played at different volumes/durations, genre is confounded with loudness/dose = No. Do NOT judge if music ""should work"" - assess technical feasibility only."
5Z(1),Selection Bias: Sequence Generation,RoB,Was allocation to groups generated by an appropriate random method?,Yes; No; Unclear; NA,Study-level,"Allocation method is described as random and plausible: RNG, random-number table, drawing lots, or similar preventing foreknowledge.","Clearly non-random: alternation, order of arrival, convenience sampling, or assignment based on pre-intervention characteristics.",N/A,"States ""randomly assigned"" but no method described.","Yes: ""www.random.org to generate assignments."" OR ""Animals drawn randomly from sealed envelope."" No: ""Assigned alternately"" OR ""Odd-numbered animals to music, even to control."" Unclear: ""Randomly assigned to groups"" - no method.","""Random"" without method = Unclear, not Yes. Randomizing cage positions ≠ randomizing animal allocation. Opaque bag > list."
5Z(2),Performance Bias: Random Housing,RoB,Were animals randomly housed or protected from cage/position effects?,Yes; No; Unclear; NA,Study-level,"Random placement of cages to shelf positions, OR counterbalancing/rotation, OR explicit addressing of positional confounds (light, temperature, airflow, acoustic).","Systematic placement confounding treatment: music group top shelf vs control bottom shelf, OR music and control kept in SEPARATE ROOMS with no environmental matching or room-swap described.",N/A,"Housing/cage position not reported sufficiently, OR separate rooms used but explicitly environmentally matched (residual room confound remains).","Yes: ""Cages randomly assigned to shelves; positions rotated weekly"" OR ""Music and control equally represented on each rack."" No: ""Music played in one room; the silence room was a different room"" with no matching/room-swap. Unclear: ""Silence room was identical to the music room except for sound"" - matched but still separate (residual confound).","SEPARATE-ROOMS RULE (key for music studies): music and control are usually in different rooms for acoustic isolation, which confounds ROOM with treatment. If separate rooms with NO environmental matching and NO counterbalancing/room-swap = No. If rooms explicitly matched on light/temp/humidity but still separate = Unclear (residual confound). Only score Yes if both conditions share the same racks with randomization, or rooms were swapped/counterbalanced across replicates. Consider light, temperature, airflow, acoustic proximity to equipment."
5Z(3),Detection Bias: Outcome Assessment,RoB,"Were animals assessed by pre-specified, unbiased selection rule?",Yes; No; Unclear; NA,Study-level,"All allocated animals tested at pre-specified time (e.g., ""all tested day 21""), OR pre-specified rule applied (e.g., ""first 10/cage to complete testing day 14"").","Selection based on post-allocation response, survival, behavior, or outcome-dependent criteria (e.g., ""only non-depressed animals tested"").",N/A,Selection procedure not reported sufficiently.,"Yes: ""All surviving (n=24) tested day 21, 48h post-final music"" OR ""After 4 weeks of treatment, the rats from each subgroup were tested"" (all animals, fixed timepoint). No: ""Only weight-gain animals tested"" OR ""Inclusion criteria: rats demonstrating depressive-like behaviour by SPT were selected into the treatment group"" (selection on the outcome). Unclear: ""Animals were tested"" - which and when unspecified.","DECISION RULE: ""selected for behavioural studies"" usually just means ""underwent testing"" at a fixed timepoint (= Yes), NOT cherry-picking. BUT in induced-model studies, including animals BECAUSE they show the target phenotype (e.g., CUMS responders selected by low SPT) IS outcome-dependent selection = No. Do not penalize natural attrition (death, escape). Pre-specified timing for ALL animals = Yes."
