study_id,exposure_unit,exposure_unit_evidence,exposure_unit_page,exposure_unit_confidence,behavioral_measurement_unit,behavioral_unit_evidence,behavioral_unit_page,behavioral_unit_confidence,statistical_unit,statistical_unit_evidence,statistical_unit_page,statistical_unit_confidence,animals_per_cage,cages_per_condition,delivery_level(cage_or_room),separate_rooms_treatment_vs_control,cage_or_room_randomized,concurrent_exposure_during_testing,housing_structure_evidence,housing_structure_page,pseudoreplication_flag,pseudoreplication_rationale,pseudoreplication_page,working_hypothesis_check (holds/partially holds/contradicted/not applicable/unclear),notes
"Camargo2013","room","Quote: ""The silent room was exactly the same as the room in which music was played but no sound was made""; two rooms (music room vs silent room) used for entire groups of caged rats","2","high","individual animal","Quote: ""The animals were individually subjected to the elevated plus-maze, open-field test and object recognition test.""","2","high","individuals analyzed as independent units","Quote: ""Each value reflects the mean of 10 animals per group. The means were compared using analysis of variance (ANOVA), followed by the Newman-Keuls multiple comparison test.""","3","high","5 (""housed in groups of five per opaque plastic cage"")","~2 per group (not explicitly stated; inferred from n=10/group at 5/cage)","room","yes - explicit ""silent room""/""music room"" as distinct rooms","unclear - not stated","no - Quote: ""All of the behavioral procedures were conducted during the light phase (between 1:00 and 4:00 PM), in a sound-isolated room, when the rodents were less active.""","5 rats/cage housed in groups of five; music played 5h/day 12:00-5:00PM in a dedicated music room vs a separate silent room; sound levels 50dB (silence) vs 65-75dB (music) ""in the home cages and behavioral apparatus""; behavioral testing done separately in a sound-isolated room","2-3","potential room-level pseudoreplication","Music/silence was delivered at the room level (one music room, one silent room) covering multiple cages per group (~2 cages of 5 rats = 10 rats/group), but statistics (ANOVA) treated the 10 animals per group as independent replicates with no cage or room term.","2-3","holds","Exposure occurred via dedicated home-cage-housing rooms (music vs silent), not during testing; testing was conducted separately in a sound-isolated room without music, consistent with home-cage exposure separate from testing."
"Chen2019","room","Quote: ""Pups from each group were transported to a soundproof room and exposed to either music or ambient noise from 8 pm to 10 pm during the dark cycle for 21 consecutive days. At the end of each music/ambient noise exposure, the animals were returned to their home cage.""","3","medium","individual animal","Paraphrase: standard EPM/OFT procedures described (rats placed in the middle of an apparatus with two arms; animals placed in a corner of an open field) implying one animal tested at a time; not explicitly stated as ""individually"".","3","medium","individuals analyzed as independent units","Quote: ""Significant differences were determined using one-way or three-way ANOVA with repeated measures... For OFT/EPM in a three-way ANOVA, factors are music, sex, and fear conditioning."" Reported as male n=9, female n=6 per group with no litter/cage term.","4","high","4 littermates per cage (post-PND35, ""groups of four littermates were housed together""); pre-weaning arrangement with dam not fully specified","not explicitly stated - unclear","room","unclear - not stated whether music and control groups used physically separate soundproof rooms or the same room at different times","unclear - not stated","no - Quote: ""At 60 days of age, rats were subjected to auditory fear conditioning... anxiety-like behavior assessments"" occurring long after the PND14-35 exposure window, with animals ""returned to their home cage"" after each exposure session (no music reported during testing).","Pups selected from litters of six SD mother rats, randomly divided into music/control groups; exposed together in a soundproof room during dark cycle for 21 days; after PND35 housed in same-sex groups of four littermates; behavioral testing conducted at PND60+ without concurrent sound.","2-3","potential room-level pseudoreplication","Whole cohorts of pups assigned to a condition were transported and exposed together in a single soundproof room per session, and litters contributed multiple pups to each condition, yet statistics treated individual pups (n=9 male/6 female per group) as independent without a litter or exposure-batch term.","2-4","partially holds","Exposure occurred in a dedicated soundproof room rather than the home cage per se (contradicting the ""home cage"" framing), but there was no concurrent exposure during behavioral testing (testing occurred at PND60+, well after the PND14-35 exposure period), which is consistent with the non-concurrent part of the hypothesis."
"Cheng2024","unclear","Quote: ""the mice were exposed to their respective genres of music for a duration of 2 h every evening... The sound system used for playing the music was strategically positioned at a distance of approximately 2 m from the mice's enclosure.""; singular ""enclosure"" suggests group/cage-level delivery via one sound source but housing density and number of enclosures per condition are not stated.","2-3","low","individual animal","Quote: ""each mouse was individually positioned at the center of an open-field apparatus""; ""Each mouse was individually placed in this container [forced swim test] and required to swim for a total duration of 6 min.""","5","high","individuals analyzed as independent units","Quote: ""we applied a one-way ANOVA... N = 11 in each group"" (Fig. 1 legend) with Tukey post hoc; no cage or enclosure term reported.","3;6-7","high","not explicitly stated (see note on sucrose test bottle-per-cage description suggesting group housing)","not stated - unclear","cage or room (unclear which)","not stated - unclear","not stated - unclear","no - Quote: ""Open-field test, sucrose preference test and forced swimming test were performed after the last music therapy, respectively.""","Mice randomly divided into 7 groups (n=11): Normal-vehicle, CUMS-vehicle, CUMS-classical, CUMS-light, CUMS-atonal, CUMS-rock, CUMS-fluoxetine; music played via a sound system ~2m from the mice's enclosure 2h/evening for 4 weeks; sucrose preference test description states ""each cage was outfitted with one bottle of 1% sucrose solution and one bottle of water"" implying group/cage housing, yet sucrose preference and other behavior are reported per mouse (N=11).","2-4","potential cage-level pseudoreplication","The sucrose preference test methodology explicitly assigns bottles per cage (""each cage was outfitted with one bottle...""), implying cage-level (group) housing, but the statistical analyses (one-way ANOVA, N=11 per group) treat individual mice as independent units without any cage/enclosure term, despite exposure also being delivered via a single sound source per enclosure/room rather than to individually isolated animals.","4-7","partially holds","Music was delivered to a shared enclosure/room (not to individually isolated animals) analogous to home-cage exposure, and testing occurred after exposure ended rather than concurrently, consistent with the home-cage (non-concurrent) part of the hypothesis; however housing/exposure unit details are too sparse to fully confirm."
"Chikahisa2007","unclear","Quote: ""In the music or white-noise group, mice were exposed to music or white noise from 30 to 45 min before behavioral tests, and also during the tests... The sound level of the silence group was 55 dB, music 65-75 dB, and the white noise 70 dB in the home cages and in the behavioral apparatus.""; timing described centers on the testing window though sound levels are also reported for home cages, so it is unclear whether exposure was continuous in the home cage or only around testing.","2","medium","individual animal","Paraphrase: standard individual-animal protocols described for open field, elevated plus maze, light-dark transition, and marble burying (one mouse per apparatus at a time; marble burying explicitly states ""placing a single mouse in a polypropylene cage"").","2-3","medium","individuals analyzed as independent units","Quote: ""Behavioral tests were analyzed by Kruskal-Wallis test, followed by the post hoc multiple Mann-Whitney U-test."" Sample sizes reported as ""from 9 to 18 per column"" (individual mice), no cage term.","3","high","2 (""only two mice were placed in each cage... in order to produce a varied estrus cycle per cage"")","not explicitly stated (n~13/group per hormone condition implies ~6-7 cages; inferred, not explicit)","room","no - Quote: ""The silence condition was performed in the same room as the music and white-noise groups where there was no sound except ambient noise.""","not stated - unclear","yes - Quote: ""mice were exposed to music or white noise from 30 to 45 min before behavioral tests, and also during the tests.""","Female mice group-housed 2/cage to vary estrus cycle per cage; music/white-noise/silence conditions all conducted in the same room (not separate rooms), with exposure occurring 30-45 min before and during behavioral testing; sound levels also reported for home cages.","2","potential cage-level pseudoreplication","Mice were explicitly housed 2 per cage (deliberately, to vary estrus cycle by cage), yet the Kruskal-Wallis/Mann-Whitney analyses treated individual mice (n=9-18 per column) as independent without any cage-level term, despite estrus-cycle variation being described as a cage-level phenomenon.","2-3","holds","This study represents the concurrent-exposure pattern: sound was delivered during individual behavioral testing (each mouse tested alone in the apparatus while sound played), consistent with the hypothesis's description of concurrent testing exposure being delivered to individually tested animals."
"Escribano2014","unclear","Quote: ""In the music or white-noise group, rats were exposed to music or white noise from 30 to 45 min before the behavioural tests and also during the test (Chikahisa et al., 2007)... The silence condition was maintained in the same room as the music and white noise groups.""","2","medium","individual animal","Paraphrase: standard individual-animal EPM and light-dark box transition protocols described (""Rats were placed in the centre of an apparatus...""); not explicitly stated as one-at-a-time but standard for these tests.","3","medium","individuals analyzed as independent units","Quote: ""Behavioural tests were analyzed by a one-way analysis of variance (ANOVA) and corrected with Bonferroni-test""; n=6 rats per subgroup reported, no cage term.","3","high","3 (""rats, housed in groups of three animals in a plastic cage"")","~2 per group (not explicitly stated; inferred from n=6/group at 3/cage)","room","no - Quote: ""The silence condition was maintained in the same room as the music and white noise groups.""","not stated - unclear","yes - Quote: ""rats were exposed to music or white noise from 30 to 45 min before the behavioural tests and also during the test.""","Rats housed 3/cage; all three sound conditions (silence, white noise, music) delivered in the same room (sequentially by condition, not separate simultaneous rooms); exposure occurred 30-45 min before and during behavioral testing; sound levels 55dB silence vs 65dB music/white noise ""in the home cages and in the behavioural apparatus"".","2","potential cage-level pseudoreplication","Rats were explicitly housed in groups of three per cage, but the one-way ANOVA with Bonferroni correction treated n=6 rats per group as independent replicates without any cage-level term.","2-3","holds","This study explicitly follows the Chikahisa et al. (2007) protocol: exposure was concurrent with individual behavioral testing (delivered while each rat was individually tested), consistent with the hypothesis's description of concurrent testing exposure at the individual level."
"Flores2018","cage","Quote: ""The PAS were applied in the dark phase of the natural light-dark cycle and generated from the signal amplification of a multimedia device, with a speaker system located 40 cm from the cage.""","3","medium","individual animal","Quote: ""The animals were individually exposed to the forced-swimming test.""","2","high","individuals analyzed as independent units","Paraphrase: three-way ANOVA (housing x PAS-during-housing x PAS-during-FST) followed by Student-Newman-Keuls post hoc, with n=7-8 mice per of 8 groups; no cage term.","4-5","high","not explicitly stated for standard housing (""Mice were housed in standard laboratory cages""); ENR boxes generally described as housing ""a large number of cagemates"" without an exact count for this study","not explicitly stated - unclear","cage","not stated - unclear","not stated - unclear","yes, for a subset of groups by design - Quote: ""mice were exposed to Porsolt's forced-swim test (FST)... in the presence or absence of an additional PAS exposure"" (factor C = ""PAS during FST"")","Mice housed in standard cages (NH) or large enriched cages (ENR) for 35 days with or without PAS exposure delivered via a speaker 40cm from the cage; a subset of animals received an additional short PAS exposure concurrent with the FST itself as an explicit experimental factor.","2-4","potential cage-level pseudoreplication","PAS was delivered via a single speaker positioned relative to the cage (not to each animal individually), and animals were housed together (standard or enriched cages, exact number per cage not stated), yet the three-way ANOVA treated n=7-8 mice per group as independent replicates with no cage-level term.","2-5","holds","This study explicitly separates chronic housing-level exposure (delivered to the cage, analogous to home-cage exposure) from an additional acute PAS exposure delivered during the FST itself while animals were individually tested, matching both clauses of the hypothesis within a single experimental design."
"Freitas2020","cage","Quote: ""Standard animals (IE) were kept in standard laboratory cages (49 x 34 x 18cm), containing 8 animals per cage... Each enriched cage housed 8 individuals.""; with 32 mice divided into 4 groups of 8, each experimental group corresponds to essentially one cage of cagemates.","2","high","individual animal","Quote: ""Each animal had a single individual entry into the apparatus"" (open field); standard one-at-a-time EPM and Morris water maze procedures also described.","3","high","individuals analyzed as independent units","Quote: ""Experimental groups were compared using two-way ANOVA, Bonferroni a priori tests""; note reported F-values (e.g., F1,59) imply a total N somewhat larger than the described 32 mice, suggesting possible repeated-measures pooling or additional unreported replicates - flagged as a discrepancy.","4;6","high","8 (""containing 8 animals per cage""/""Each enriched cage housed 8 individuals"")","1 cage per group (32 mice / 4 groups of 8, each housed together at the stated density) - not explicitly labeled as ""1 cage"" but arithmetically implied","cage","not stated - unclear","not stated - unclear","no - Quote: ""At the 120th postnatal day, all subjects were submitted to behavioral tests"" after the 3-month home-cage exposure period concluded; no mention of music during testing.","32 female BALB/c mice divided into 4 groups of 8 (IE-NM, IE-CM, EE-NM, EE-CM); standard cages house 8/cage and enriched cages house 8/cage; music (65dB, 12h with 10-min silent intervals every 30 min) played 3x/week during the dark cycle for 3 months; behavioral testing at PND120 with no concurrent sound reported.","2-3","potential cage-level pseudoreplication","With exactly 8 animals per cage and 8 mice per experimental group, each treatment group is very plausibly a single shared cage; behavioral outcomes were analyzed via two-way ANOVA treating the 8 mice per group as statistically independent without any cage-level term, despite likely being cagemates sharing one music/no-music environment.","2-4","holds","Music was delivered as a chronic home-cage/enriched-cage exposure (not during testing), and behavioral testing occurred well after the exposure period with no concurrent sound reported, consistent with the home-cage (non-concurrent) part of the hypothesis."
"Fu2023","room","Quote: ""Mice were housed individually and exposed to three different stressors daily... CUMS+Music mice listened to music for 1.5 h each night from 20:30 to 22:00. The music player was located approximately 2 m away from the mice, and music was played in a random order...""; mice were singly housed but appear to have shared a single room-level sound source per condition group.","2","high","individual animal","Quote: ""Each rat [mouse] was placed on the central platform facing one of the open arms"" (EPM); ""Individual mice were positioned on the corner grid"" (novelty-suppressed feeding).","3","high","individuals analyzed as independent units","Quote: ""One-way ANOVA followed by Tukey's multiple comparisons test was used to assess differences between the groups""; groups of n=6-14, no room/session term.","3","high","1 (""Mice were housed individually"")","not stated - unclear (room-level session size undetermined)","room","not stated - unclear","not stated - unclear","no - Quote: ""Behavioral tests were conducted in a quiet environment"" and ""mice were transferred to the testing room at least 3 h before the behavioral tests"", with no music reported during testing.","Mice housed individually (single-housed) during CUMS induction; CUMS+Music mice listened to music nightly via a single player ~2m away, implying a shared room-level auditory environment for all individually-caged mice assigned to that condition; behavioral tests performed in a separate quiet environment without concurrent sound.","2-3","potential room-level pseudoreplication (attenuated by individual housing)","Although single housing removes classic cage-mate/social confounds, all individually-housed mice assigned to the music condition shared one sound source and identical randomized playback in the same room/session, and the one-way ANOVA treated n=6-14 mice as fully independent without any session or room-level term.","2-3","holds","Music was delivered as a nightly, non-concurrent exposure (home-cage/room, at night) distinct from CUMS during the day, and behavioral testing was conducted afterward in a quiet environment without concurrent sound, consistent with the home-cage (non-concurrent-testing) part of the hypothesis."
"Fu2025","room","Quote: ""During the 23-day model establishment phase, the mice listened to music prepared by us for 2 h per day... To ensure minimal disturbance during music exposure, the mice were placed in a sealed room. This process involved moving the mice... so we also moved the control groups an equal distance...""","2","high","individual animal","Quote: ""Mice were individually positioned at a corner grid"" (NSF); ""Each mouse was gently placed on the central platform facing an open arm"" (EPM).","2","high","individuals analyzed as independent units","Quote: ""Statistical analysis was performed using one-way ANOVA followed by Tukey's post-hoc test for multiple comparisons... n = 10 per group.""","5","high","not explicitly stated - unclear","not stated - unclear (groups of n=10 moved together to the sealed room per session)","room","not stated - unclear","not stated - unclear","partially/unclear - Quote: ""Two days after the ﬁnal E2 injection, the mice were subjected to a comprehensive set of behavioral assessments, accompanied by daily music exposure until euthanasia"" - music exposure continued daily throughout the testing period but it is not explicitly stated that music played during each individual test session itself.","Four groups of n=10 mice (SHAM, PPD, PPD+Music, Music); music delivered by moving the whole group together into a sealed room for 2h/day sessions (with control groups moved an equal distance as a procedural control); daily music exposure continued throughout the behavioral testing period.","2","potential room-level pseudoreplication","Entire groups of 10 mice were transported and exposed together in a single sealed room per session (a room-level, batched exposure), yet the one-way ANOVA (n=10 per group) treated individual mice as independent without any session/room-level term.","2,5","partially holds","Exposure was delivered at the room/group level via batched sealed-room sessions rather than to the home cage or to individually tested animals, and music exposure continued during the testing period (not cleanly separated from testing), only partially matching the hypothesis's home-cage/non-concurrent framing."
"Krishnamurthy2025","room","Quote: ""Animals were placed 1 meter away from the speaker in a sound attenuated room and Indian classical (instrumental) music was played with an average sound level of 65-75 dB... for 1 h for a period of 21 days.""","2","high","individual animal","Paraphrase: standard individual EPM, FST, NORT, and T-maze protocols described; sucrose preference test explicitly states ""each animal was housed individually in polypropylene cages"" for that 3-day test.","2-3","high","individuals analyzed as independent units","Quote: ""Data was analysed using ANOVA followed by Tukey's posthoc test""; n=8 per group (Control, Stress, CUMS+Music, CUMS+Standard), no cage/room/session term.","2","high","not stated for general housing (""housed in polypropylene cages""); explicitly 1 (single-housed) for the sucrose preference test specifically","not stated - unclear (music group of n=8 placed together in one sound-attenuated room per session)","room","not stated - unclear","not stated - unclear","no - Quote: testing was performed ""post-treatment"" after the full 21-day music exposure phase concluded (abstract), with no indication music played during EPM/FST/NORT/T-maze sessions.","Adult male Wistar rats housed in polypropylene cages (general housing density not stated); CUMS+Music group (n=8) placed together 1m from a speaker in a sound-attenuated room for 1h/day for 21 days after the 28-day CUMS protocol; sucrose preference test specifically used individual housing for measurement.","2-3","potential room-level pseudoreplication","The entire music-exposed group (n=8) received a shared, simultaneous room-level music session (all animals placed together 1m from one speaker), yet the one-way ANOVA treated the 8 rats as independent replicates with no session/room-level term.","2","partially holds","Exposure was delivered as a room-level group session (not simply individual home-cage exposure) and was not concurrent with behavioral testing (testing occurred after the full music exposure phase ended), partially matching the hypothesis's non-concurrent-testing framing but diverging from a strict home-cage delivery model."
