Item,Order,Construct,SYRCLE_item,Domain,Question,Response_options,Assessment_level,NA_rule,Operational_guidance,Notes
1X,1,QoR,-,Peer review,Did the paper undergo peer review before publication?,Yes; No,Study-level,Not used,"Yes = full article in a scholarly journal. No = preprint, thesis, conference abstract, or other non-peer-reviewed report.",Do not infer peer-review status from author affiliation.
2X,2,QoR,-,Bench-top/lab work: reporting,Are bench-top/laboratory procedures that establish the model sufficiently reported?,Yes; Partly; No; NA,Study-level,NA (default) when no cell culture/surgery/genetic-model/compound-prep procedure is central to the study.,Code only when such work materially establishes the model/intervention; otherwise NA with the reason recorded.,Pre-specified deviation for acoustic music-exposure experiments.
2Y,3,MQ,-,Bench-top/lab work: technical quality,Were those bench-top procedures technically adequate and appropriately implemented?,Yes; Partly; No; NA,Study-level,NA (default) as for 2X.,Assess only if bench-top work materially establishes the model; otherwise NA.,Pre-specified deviation; document the NA.
3X,4,QoR,-,Animals: reporting,Are experimental animals sufficiently described?,Yes; Partly; No,Study-level,Not used,"Yes = species, strain/stock, sex, age/stage + body mass or supplier, and identifiable group sizes. Partly = some descriptors only. No = generic 'rats/mice' or seriously insufficient.",Do not penalize early-life studies where sex is undeterminable; record stage.
3Y,5,MQ,-,Animals: technical quality,Were animal characteristics comparable between groups and appropriate for the assay?,Yes; Partly; No,Cohort-sensitive,Not used,Yes = groups comparable (strain/sex/age/baseline) and model appropriate. Partly = likely comparable but incompletely documented. No = relevant imbalance unaddressed or unsuitable model.,"A missing baseline table usually warrants Partly, not No."
3Z,6,RoB,SYRCLE 2,Selection bias: baseline characteristics,Were relevant baseline characteristics balanced between music and control groups?,Yes; No; Unclear; NA,Cohort-sensitive,NA only if a single group is genuinely relevant (rare).,Yes = arm-specific balance shown or matching/blocking/litter-balancing used. No = relevant imbalance shown and unaddressed. Unclear = no arm-specific baseline info or balancing procedure.,-
4Y,7,MQ,-,Sample-size calculation,Did the study report an appropriate a priori sample-size calculation?,Yes; Partly; No,Study-level,Not used,Yes = a priori calculation with assessable assumptions appropriate to the music comparison. Partly = mentioned but incomplete or post hoc. No = none reported.,'Sample size followed prior studies' is not a calculation.
5X,8,QoR,-,In vivo design & performance: reporting,Is the music-exposure experiment described sufficiently for replication?,Yes; Partly; No,Cohort-sensitive,Not used,Yes = all core elements reported (stimulus; delivery hardware/arrangement; sound level; schedule/timing; control condition; housing; assay; induction). Partly = one or more core elements missing. No = no reproducible music-vs-control experiment identifiable.,List each core element as reported or NR even when overall = Yes.
5Y,9,MQ,-,In vivo design & performance: technical quality,Does the described music-exposure design appear technically feasible for the stated aim?,Yes; Partly; No,Cohort-sensitive,Not used,"Yes = plausibly delivers distinct music/control; no obvious acoustic cross-contamination, pseudoreplication, or fatal timing flaw. Partly = plausible but key info incomplete. No = clear technical problem threatening interpretability.",Do not judge whether a genre 'should work'.
5Z(1),10,RoB,SYRCLE 1,Selection bias: sequence generation,Was allocation to groups generated by an appropriate random method?,Yes; No; Unclear; NA,Study-level,NA only for non-interventional designs (rare here).,"Yes = described, plausibly random method (RNG, random-number table, drawing lots). No = clearly non-random (alternation, arrival order, convenience). Unclear = 'randomly assigned' with no method or no details.",-
5Z(2),11,RoB,SYRCLE 4,Performance bias: random housing,Were animals randomly housed or protected from systematic cage/position effects?,Yes; No; Unclear; NA,Cohort-sensitive,NA only if housing position cannot affect the experiment (unlikely for acoustic studies).,"Yes = random placement/counterbalancing/rotation addressing position and acoustic environment. No = systematic placement confounded with condition, unmitigated. Unclear = housing not reported sufficiently.",-
5Z(3),12,RoB,SYRCLE 6,Detection bias: random outcome assessment,"Were animals assessed according to a pre-specified, unbiased selection rule?",Yes; No; Unclear; NA,Cohort-sensitive,NA only if no animal-level outcome assessment is relevant.,"Yes = all allocated animals tested at a pre-specified time, or a random/pre-specified selection rule. No = selection based on post-allocation response/survival. Unclear = cannot tell who was assessed or how.",-
6X,13,QoR,-,Animal-welfare compliance,Did the study report compliance with animal-welfare regulations?,Yes; Partly; No,Study-level,Not used,"Yes = ethics/animal-care approval or guideline compliance explicitly reported. Partly = general welfare statement, details incomplete. No = none reported.",-
7X,14,QoR,-,Blinding: reporting,Does the report describe blinding in any relevant phase?,Yes; Partly; No,Study-level,Not used,"Yes = states who was blinded, at what stage, and to which condition(s). Partly = unqualified 'blinded' or limited detail. No = no blinding described.","Automated tracking is not, by itself, evidence of blinding."
7Z(1),15,RoB,SYRCLE 5,Performance bias: caregiver/researcher blinding,Were caregivers/researchers conducting the intervention blinded where feasible?,Yes; No; Unclear; NA,Cohort-sensitive,NA only where blinding is genuinely impossible and no handling influence is plausible (explain); not merely because the intervention is music.,"Yes = procedures prevented handling staff from knowing assignment, or coded conditions. No = explicitly unblinded with plausible influence on handling/treatment. Unclear = no adequate information.",-
7Z(2),16,RoB,SYRCLE 3,Allocation bias: allocation concealment,Could the person assigning animals foresee the next assignment?,Yes; No; Unclear; NA,Study-level,NA only for non-interventional designs.,"Yes = concealed (central coded allocation, sealed opaque envelopes, independent allocator). No = predictable or allocator could influence placement. Unclear = not described.",Randomization alone does not establish concealment.
7Z(3),17,RoB,SYRCLE 7,Detection bias: outcome-assessor blinding,Were outcome assessors blinded to music/control assignment?,Yes; No; Unclear; NA,Cohort-sensitive,NA only for an outcome with no assessor-dependent stage (explain).,"Yes = assessors/coders/analysts blinded, or data masked before outcome extraction. No = explicitly unblinded with a judgment-sensitive outcome. Unclear = not reported.",Automated tracking alone does not justify Yes unless masking is described.
8X,18,QoR,-,Methods-results congruency,Are reported methods and results coherent and transparent?,Yes; Partly; No,Cohort-sensitive,Not used,"Yes = outcomes/labels/n/timing/analyses correspond to methods; results traceable. Partly = minor discrepancies, primary comparison still interpretable. No = major mismatches or untraceable results.",-
8Z(1),19,RoB,SYRCLE 8,Attrition bias: incomplete outcome data,"Were outcome data complete, with exclusions/attrition adequately handled?",Yes; No; Unclear,Cohort-sensitive,Not used,"Yes = numbers allocated/analysed/excluded clear by group with reasons (or all contributed). No = missing/excluded unequal, outcome-related, or inadequately explained. Unclear = denominators/exclusions insufficiently reported.",Not 'No' merely because an animal died or was excluded.
8Z(2),20,RoB,SYRCLE 9,Reporting bias: selective outcome reporting,Were prespecified or expected outcomes fully reported?,Yes; No; Unclear,Cohort-sensitive,Not used,"Yes = protocol matches, or methods list outcomes and results give all corresponding group-level results. No = a key outcome missing, selective reporting, or outcome switching. Unclear = no protocol and cannot compare intended vs reported.",Absence of a protocol alone is not enough for No.
9X,21,QoR,-,Presentation of limitations,Did the authors acknowledge relevant study limitations?,Yes; Partly; No,Study-level,Not used,Yes = substantive limitations linked to the experiment/model/measures/design. Partly = generic or brief statement. No = none discussed.,-
10X,22,QoR,-,Conflict-of-interest statement,Did the paper include a conflict-of-interest/competing-interests declaration?,Yes; No,Study-level,Not used,Yes = formal statement present (including a declaration of no conflicts). No = no such statement in paper or supplement.,-
10Z,23,RoB,SYRCLE 10 (adapted),Other bias: funder/commercial influence,Was the study apparently free from inappropriate funder or commercial influence?,Yes; No; Unclear,Study-level,Not used,"Yes = no relevant conflict declared and no inappropriate sponsor role evident. No = a funder/company with a relevant interest controlled or materially influenced design/conduct/analysis/reporting, or an undeclared conflict. Unclear = conflict/sponsor-role info absent.",Academic/public funding is not a bias signal by itself.
