file_path,category,what_it_does,evidence_type
data/extraction_mm_251105.xlsx,Analytical database (raw extraction + codebook),"Full data extraction workbook. Sheet `metadata` is the authoritative item-by-item codebook (columns `Items`,`Descriptions`) defining every field later exported to db251124.csv. Other sheets (`meta genres`, `Music_Exposure_Duration`, `experimental designs`, `Inducing_procedures`, `assays`, `drop-lists`) hold controlled-vocabulary lookup tables; sheet `extract` holds the raw extracted data.",Directly supported by database
data/db251124.csv,Analytical database (cleaned),"Cleaned 298-row x 90-column database used as the direct input to effect-size calculation (read by book/effect_size_calculation.qmd). One row = one effect size (ES_ID) prior to lnRR/lnVR/lnCVR computation.",Directly supported by database
data/db_effect_sizes.csv,Analytical database (effect sizes),"db251124.csv plus computed columns Cohort_ID, lnRR, lnRR_var, lnVR, lnVR_var, lnCVR, lnCVR_var (298 rows x 97 columns). This is the dataset loaded by every downstream model file (overall_effect.qmd, uni_moderators.qmd, multi_moderator.qmd, leave_one_out.qmd, publication_bias.qmd, main_figures.qmd).",Directly supported by database
data/MUSIC-CRIME-Q_GOLD-STANDARD_assessment.xlsx,CRIME-Q risk-of-bias data,Gold-standard CRIME-Q (risk-of-bias / quality appraisal) ratings for the 20 included studies; sheet `Summary` aggregates per-item response counts across all 20 studies.,Directly supported by database
data/MUSIC-CRIME-Q_RoB_assessment.xlsx,CRIME-Q risk-of-bias data,Risk-of-bias assessment workbook feeding the ROB_* columns in db251124.csv and the crime_q.qmd figure.,Directly supported by database
book/effect_size_calculation.qmd,Data cleaning + effect-size calculation,"Loads db251124.csv; applies SD imputation from SE, continuity corrections for zero means/SDs (apply_continuity_within_group()), and defines/runs calculate_lnRR(), calculate_lnVR(), calculate_lnCVR() (using metafor::escalc(); ri = 0.5 assumed for Comparison_structure == 'Dependent' rows). Writes data/db_effect_sizes.csv.",Directly supported by codebase
book/overall_effect.qmd,Overall lnRR/lnVR/lnCVR models + VCV construction,"Builds the cohort-level variance-covariance matrix via metafor::vcalc(rho = 0.5, cluster = Cohort_ID, obs = ES_ID) and fits the three intercept-only rma.mv() models (random = ~1|Study_ID, ~1|ES_ID, ~1|Strain; REML; test='t'). This is the primary location where the assumed r = 0.5 VCV correlation is specified.",Directly supported by codebase
book/uni_moderators.qmd,Moderator analysis (univariate),"Fits one moderator at a time (incl. Outcome_type = Anxiety vs Depression) for lnRR/lnVR/lnCVR using the same VCV(rho=0.5) + random-effects structure as overall_effect.qmd; drops factor levels with k<5 within each metric; contains the anxiety-vs-depression lnVR contrast referenced in the manuscript.",Directly supported by codebase
book/multi_moderator.qmd,Moderator analysis (multivariable),"Sequence of multi-moderator rma.mv() models adding/removing Sex, Meta_genre, Music_exposure_duration, Experimental_design, Relative_timing, Experimental_procedures, Control_conditions as fixed effects, all with the same Study_ID/ES_ID/Strain random-effects structure.",Directly supported by codebase
book/crime_q.qmd,CRIME-Q figure,Builds the study-level CRIME-Q risk-of-bias rating-matrix figure from the CRIME-Q assessment workbook(s).,Directly supported by codebase
book/leave_one_out.qmd,Sensitivity analysis (existing),Study-level leave-one-out analysis for the overall lnRR model using orchaRd::leave_one_out() with the same vcalc(rho=0.5) arguments reapplied on each refit.,Directly supported by codebase
book/publication_bias.qmd,Publication-bias diagnostics,"Egger's-test-style / funnel-plot small-study-effect and time-lag models, same random-effects structure.",Directly supported by codebase
book/main_figures.qmd,Manuscript figure reproduction,Reproduces the manuscript's main figures (overall effects orchard plots etc.) directly from the fitted models.,Directly supported by codebase
book/Alluvial.qmd,Descriptive figure,"Alluvial/Sankey diagram of Outcome_type -> Species_latin -> Strain (descriptive only, not a statistical model; the only place Strain and Species co-occur in a single call).",Directly supported by codebase
book/correlation_sensitivity.qmd,NEW - correlation sensitivity appendix (this audit),"New appendix created for this reviewer-response audit. Refits the overall lnRR/lnVR models and the anxiety-vs-depression lnVR contrast across rho = 0/0.25/0.5/0.75/0.9 in vcalc(). Does not modify any existing chapter.",Newly created for this audit
book/_quarto.yml,Book/site configuration,"Quarto book project config. One line added under a new `appendices:` key to include correlation_sensitivity.qmd; no existing chapter entries were changed.",Directly supported by codebase (one additive edit for this audit)
CRIMEQ/notebooklm_workflow/shared_rules/CRIME-Q_CODEBOOK_FOR_NOTEBOOKLM.md,CRIME-Q instrument definition,"Defines the CRIME-Q risk-of-bias/quality-appraisal checklist items (not the extraction codebook for outcome/moderator variables, which lives in extraction_mm_251105.xlsx sheet `metadata`).",Directly supported by codebase
